Participant,SS_Motivation,SR_RT,SR_Dprime_Old,SR_Dprime_newb,SR_Dprime_difference,SR_Dprime_overall,Nback_V_Dprime,Nback_V_ReactionTime,Nback_S_Dprime,Nback_S_ReactionTime,Flanker_Incongruent_ACC,Flanker_Congruent_ACC,Flanker_Neutral_ACC,Flanker_Overall_ACC,Flanker_Incongruent_RT,Flanker_Congruent_RT,Flanker_Neutral_RT,Flanker_Overall_RT,TOL_OutExecutionTime,TOL_OutInitiationTime,TOL_OutMoveCount,TOL_OutMoveScore,TOL_OutTimeViolation,TOL_OutTotalCorrectScore,TOL_OutTotalExecutionTime,TOL_OutTotalInitiationTime,TOL_OutTotalMoveScore,TOL_OutTotalTimeAll,FixAVG,FixDurationAVG,SacDurationAVG,SacDurationTOTAL,SacDistanceAVG,LL1,LL2,HA,Group
1002,2.008333333,1409.94166666667,-0.0630932215794195,-0.0210836086314745,-0.0420096129479451,-0.0421114998724734,2.40615414631833,707.772727272727,2.48436449724809,772.208333333333,1,1,1,1,459.725,383.3,400.1,414.375,22872,15757,7,0,1,7,230424,115476,28,345900,12.16071,232.9020408,34.53062241,41609.4,78.29958929,-1393.22180878556,-1339.2977779182,-0.0197341790813721,2
1003,3.775,1148.083333,2.883460261,1.186142326,1.697317935,1.690004317,2.76809778561603,562.065217391304,2.03017409335904,673.729166666667,0.875,0.95,1,0.941666666666667,379.25,330.125,342.4,350.591666666667,7584,8737,7,0,1,4,210335,86701,22,297036,15.52679,298.5449408,29.5130133,51028,108.0826413,-1368.48818050074,-1394.11675353109,0.00927695911733309,1
1004,2.916666667,1502.254167,2.037764687,1.126992644,0.910772043,1.52573181,3.02784775405211,563.913043478261,2.92640519249607,504.5,0.775,1,1,0.925,407.725,350.5,357.775,372,15160,20308,9,2,0,5,163511,121171,26,284682,14.28571,331.0126928,30.93182711,47232.9,79.96972989,-1310.76320845372,-1335.00131104474,0.00916109593744643,1
1005,2.966666667,1300.283333,3.070005579,1.228224805,1.841780774,1.954240099,2.76809778561603,818.422222222222,2.99639737403384,787.25,0.975,1,1,0.991666666666667,422.8,344.3,339.3,368.8,22256,11489,13,6,0,1,172570,65008,44,237578,13.50893,331.7322581,33.92888112,48518.3,93.27320509,-1348.11921175949,-1323.28934952031,-0.00929467045927722,2
1006,2.316666667,1215.679167,1.933849756,1.066697646,0.86715211,1.468988744,1.82483913057209,697.787234042553,0.651112923086222,622.3125,0.95,1,0.975,0.975,479.5,406.675,420.4,435.525,11664,2312,9,2,0,4,132242,89100,30,221342,13.50893,272.3942296,34.25346535,51894,67.75650159,-1323.85281136345,-1364.0587414724,0.0149580554711851,1
1007,3.316666667,1175.041667,1.276435574,0.422860936,0.853574638,0.823500032,2.56123464440943,788.787234042553,2.92640519249607,680.125,0.825,0.925,0.85,0.866666666666667,437.35,422.7,400.75,420.266666666667,43168,2722,13,6,1,5,210815,52816,27,263631,12.36607,370.3450237,31.31901253,42499.9,86.05695357,-1375.26811179177,-1423.23424226851,0.0171399285789934,1
1008,2.708333333,1082.833333,2.256064909,0.890043163,1.366021746,1.606003049,3.68168775865286,646.395348837209,2.48647486052439,690.416666666667,0.975,1,0.975,0.983333333333333,347.425,315.45,313.125,325.333333333333,7088,15684,7,0,0,9,55152,138073,2,193225,15.92857,249.4066003,34.56622754,57725.6,90.27961668,-1376.40010547012,-1406.9644237658,0.0109810691250244,1
1009,2.291666667,964.9416667,1.156081895,0.425694363,0.730387532,0.798101336,3.21690876291655,682.985714285714,2.80158521811297,658.1875,1,1,1,1,373.725,341.6,334.575,349.966666666667,8774,11905,7,0,0,8,111907,162824,6,274731,15.19643,288.7702643,33.91255924,57244.4,113.9472448,-1406.15427402357,-1442.4984831644,0.0127583851872179,1
1010,2.566666667,1540.929167,1.590347289,1.099966152,0.490381137,1.323877143,2.57328562969516,864.511111111111,0.131973363271768,672.916666666667,1,0.975,0.975,0.983333333333333,528.25,465.7,485.2,493.05,10728,28436,7,0,3,6,284544,191616,19,476160,14.90179,253.2256568,30.60378151,50985.9,90.11150516,-1362.32653504919,-1390.57915370653,0.0102628356549725,1
1011,2.658333333,1271.958333,2.940263036,1.38518535,1.555077686,1.848651191,2.71132388189747,1095.10638297872,1.22694169998048,1391.54166666667,0.925,1,0.975,0.966666666666667,374.275,362.4,349.675,362.116666666667,14872,12052,7,0,1,10,75808,264511,0,340319,14.25,310.6554642,32.58132147,51283,102.9037614,-1362.68443356392,-1396.85955298113,0.0123843358119486,1
1012,3.125,1836.4,2.062457194,1.313870124,0.74858707,1.671365833,2.71132388189747,763.651162790698,2.48436449724809,739.375,1,1,1,1,427.4,388.45,379.3,398.383333333333,9376,13501,7,0,0,5,152968,76475,21,229443,13.21429,364.5201011,29.17950311,42281.1,86.06201749,-1325.50788919211,-1314.13838684327,-0.00430720678450883,2
1013,2.383333333,1231.916667,1.288055258,0.517414325,0.770640933,0.902734792,2.8784553652743,826.446808510638,1.5348986686804,794.4375,0.975,1,1,0.991666666666667,609.9,496.625,480.275,528.933333333333,9096,2336,7,0,1,5,228694,98256,23,326950,14.00893,313.9852713,36.30314548,55398.6,81.85353598,-1356.71949747092,-1337.98179153817,-0.00695353730269804,2
1014,2.158333333,996.6333333,1.12825194,0.45376219,0.67448975,0.772401554,3.31838569724599,566.829787234043,2.5631031310892,580.291666666667,0.9,1,1,0.966666666666667,369.7,330.475,334.8,344.991666666667,29792,11045,9,2,1,2,207224,106596,23,313820,13.17857,336.5381714,34.5851227,45099,76.60913742,-1317.20072689734,-1350.27359550815,0.0123985705628011,1
1015,3.041666667,1392.408333,2.075580926,0.916940336,1.15864059,1.51919228,1.50865547395571,1030.71428571429,1.40721291239967,1043.64583333333,1,1,1,1,519.625,474.4,480.275,491.433333333333,9840,4397,7,0,1,3,247584,52731,38,300315,11.71429,362.840796,32.42230274,40268.5,81.09336665,-1317.34870305232,-1346.20179045527,0.0108325663332755,1
1016,3.6,1063.15,1.63634123,0.997673661,0.638667569,1.320287349,3.07326752119518,930.363636363636,2.03017409335904,753.1875,0.975,0.975,1,0.983333333333333,395.525,355.65,359.3,370.158333333333,8040,17038,7,0,3,7,202801,304339,33,507140,12.86607,387.8146982,26.1083273,36055.6,89.21685255,-1306.38719012566,-1326.00496320161,0.00745245082544213,1
1017,3.266666667,910.075,1.170727675,0.597760126,0.572967549,0.872737875,1.67474989308405,701.878048780488,2.80158521811297,624.291666666667,0.975,1,1,0.991666666666667,442.575,394.55,398.05,411.725,7544,7361,7,0,1,3,207152,105676,48,312828,10.70536,491.4541241,26.94907579,29158.9,77.14565112,-1306.34140530197,-1287.12660246741,-0.00740892225275351,2
1018,1.841666667,1085.891667,1.424783425,0.655080836,0.769702589,1.064354763,3.07326752119518,692.717391304348,2.08562533139513,795.75,0.975,1,0.95,0.975,356.975,347.425,347.575,350.658333333333,9912,30738,7,0,5,7,207841,334942,20,542783,15.64286,271.1150853,36.63230944,64399.6,105.6208889,-1349.33196522525,-1368.43404913539,0.00702859768250881,1
1019,2.425,952.2833333,1.0510733,0.424346561,0.626726739,0.706577457,2.25606490883029,656.477272727273,1.40721291239967,578.333333333333,0.95,1,0.975,0.975,413.925,351.8,363,376.241666666667,9576,12601,7,0,2,1,262072,128025,66,390097,13.35714,288.3782581,32.78054734,44319.3,77.57057251,-1327.48738102538,-1357.76489953113,0.0112754837692474,1
1020,2.4,976.225,1.513473818,1.001440941,0.512032877,1.232455455,3.99679811624144,561.104166666667,2.48647486052439,624.625,1,1,1,1,416.975,353.05,347.125,372.383333333333,7841,8579,7,0,0,3,185583,94711,30,280294,13.28571,287.5692114,32.98073115,43303.7,90.86325806,-1341.74939951439,-1325.32700774156,-0.00615745080574048,2
1021,2.925,699.3208333,0.727559179,0.357980559,0.36957862,0.535360755,2.56123464440943,661.106382978723,1.89820073008727,583.333333333333,0.875,1,1,0.958333333333333,449,387.675,422.65,419.775,10119,5409,7,0,0,3,240620,63081,40,303701,11.5,350.4957431,30.09124386,36771.5,76.18668202,-1297.30841306337,-1281.30159850032,-0.00620753603347039,2
1022,2.425,1070.85,1.171448006,0.590311581,0.581136425,0.867161647,1.98501149925804,532.25,2.48647486052439,595.229166666667,0.85,1,0.9,0.916666666666667,341.05,303.925,304.575,316.516666666667,14256,17060,9,2,0,4,184208,131524,13,315732,13.26786,359.3372093,29.61001362,43467.5,61.74365855,-1289.08941388031,-1299.71540768975,0.0041045944139573,1
1023,1.816666667,1162.304167,1.67125634,0.899834214,0.771422126,1.288772215,3.01321596166685,681.95652173913,2.31798495503839,699,0.95,1,1,0.983333333333333,440.375,378.75,360.075,393.066666666667,13824,10329,8,1,3,1,291736,156478,41,448214,13.36607,348.113936,33.33246037,48365.4,116.207418,-1370.19545087796,-1388.63466283512,0.00668370693269642,1
1024,3.441666667,958.4625,1.622543471,0.714775743,0.907767728,1.170926083,2.25606490883029,740.159090909091,2.12317279911752,720.458333333333,0.95,1,1,0.983333333333333,465.975,408.525,413.575,429.358333333333,6840,12670,7,0,0,9,60335,129482,2,189817,12.33929,330.4073351,36.07061192,44799.7,71.25145769,-1320.55176591128,-1274.00526591241,-0.0179400565984674,2
1025,2.341666667,1722.5375,1.819933765,1.246861784,0.573071981,1.513473818,3.68168775865286,778.279069767442,2.80158521811297,636.604166666667,0.9,1,1,0.966666666666667,397.175,337.125,353.575,362.625,11464,22405,8,1,0,4,109400,172537,12,281937,12.22321,358.9176471,38.18596096,50863.7,78.67862982,-1313.43022102208,-1342.19174412187,0.0108304282301112,1
1026,2.508333333,1051.795833,2.018940717,0.894745514,1.124195203,1.424558768,2.41942751659443,806.085106382979,2.63445373473614,870,0.95,1,0.975,0.975,427,357.125,368.6,384.241666666667,14105,21545,7,0,1,7,139575,208768,8,348343,14.16071,333.6016422,29.00277078,46056.4,70.49164009,-1285.93479962167,-1310.26742347086,0.00937239157749857,1
1027,2.8,1444.8625,1.914482575,1.156513076,0.757969499,1.503588641,3.37651802307372,821.425531914894,3.24151555008465,1058.08333333333,0.95,0.975,1,0.975,401.4,358.175,347,368.858333333333,8152,4069,7,0,1,3,300044,64592,50,364636,14.75,317.8130017,30.26183724,49084.7,92.31967322,-1324.85648635161,-1343.34820726999,0.00693039816719625,1
1028,3.15,1292.729167,0.826314652,0.740861553,0.085453099,0.783395943,2.57328562969516,1063.53333333333,2.12317279911752,920.375,0.925,1,0.925,0.95,488.625,393.875,361.7,414.733333333333,19490,4506,9,2,2,0,388402,58414,73,446816,14.84821,275.8661435,37.62175649,56545.5,67.77270625,-1348.32667412865,-1325.78334962485,-0.00843021577405231,2
