index,imgname,h,h1,p1,h2,p2
97,n42.jpg,1,1,0.00225116622414374,1,0.00736643754221195
98,n43.jpg,1,1,0.0013103728741879,1,0.0106658700323797
28,m34.jpg,1,1,0.0168666964276926,1,0.00171736702336458
45,m5.jpg,1,1,0.0115306040222984,1,0.0143268599455547
105,n5.jpg,1,1,0.0199721821949506,1,0.0078034670472632
55,m59.jpg,1,1,0.00964242244882636,1,0.0191732527731307
118,n7.jpg,1,1,0.00697492973918728,1,0.0247915284875277
69,n17.jpg,1,1,0.0344039772483363,1,0.000405736661164124
59,m8.jpg,1,1,0.0425780232761628,1,0.0014923001579491
61,n1.jpg,1,1,0.0284654919458319,1,0.0177633247303816
72,n2.jpg,1,1,0.0387838168312098,1,0.0119789600585857
65,n13.jpg,1,1,0.046182404652832,1,0.00789788801062323
8,m16.jpg,1,1,0.0376957521006413,1,0.0245223132035967
77,n24.jpg,1,1,0.0281966793922764,1,0.045626591755379
26,m32.jpg,1,1,0.0394157112398559,1,0.0380069070988939
113,n57.jpg,0,1,0.0027833505628735,0,0.0560646632755062
107,n51.jpg,0,1,2.88560158377443e-05,0,0.0625925185372971
111,n55.jpg,0,1,0.0128290110890369,0,0.0597013831640988
29,m35.jpg,0,1,0.0154203266901325,0,0.0646102112568859
3,m11.jpg,0,0,0.0708053003950917,1,0.0137221698619645
110,n54.jpg,0,1,0.00328956821799765,0,0.0899321707771371
56,m6.jpg,0,1,0.0199499123399888,0,0.0760391967575986
30,m36.jpg,0,1,0.028929608728525,0,0.0671693320742541
58,m7.jpg,0,0,0.0789659969219254,1,0.0182945422889965
114,n58.jpg,0,1,0.0469292365945245,0,0.0601177324655136
16,m23.jpg,0,1,0.0268258913164999,0,0.084228525775242
62,n10.jpg,0,0,0.0638634861669917,1,0.0496173681453835
40,m45.jpg,0,0,0.096970686048977,1,0.0182523826851461
87,n33.jpg,0,1,0.0162729097799295,0,0.103388185734676
117,n60.jpg,0,1,0.00658297863802685,0,0.118790543101456
80,n27.jpg,0,0,0.0816812465453879,1,0.0442384165675575
64,n12.jpg,0,0,0.0790041827267994,0,0.0563177133147017
83,n3.jpg,0,1,0.0211376711391392,0,0.115315813109195
63,n11.jpg,0,0,0.0636896453355942,0,0.0747445851405219
57,m60.jpg,0,1,0.0349344019872985,0,0.120192227228825
85,n31.jpg,0,0,0.1092539583785,0,0.0620121342419186
49,m53.jpg,0,0,0.0798975159333186,0,0.102154648443275
99,n44.jpg,0,0,0.155059583712357,1,0.029254217747082
86,n32.jpg,0,0,0.0672171527795781,0,0.123531872483745
32,m38.jpg,0,0,0.0733558867794785,0,0.121210290469688
100,n45.jpg,0,0,0.191351999302273,1,0.00802240648028105
48,m52.jpg,0,0,0.0842721892933102,0,0.115187981053184
22,m29.jpg,0,0,0.0618953689063732,0,0.139953656317769
78,n25.jpg,0,1,0.00562463454365152,0,0.20555639228914
21,m28.jpg,0,1,0.0295259862842779,0,0.186784750593436
79,n26.jpg,0,0,0.133755840026617,0,0.0840151088565702
76,n23.jpg,0,1,0.000294762505355285,0,0.224079822922168
66,n14.jpg,0,0,0.141163209252458,0,0.0845811855389562
9,m17.jpg,0,0,0.17480229174245,0,0.0510437949870775
51,m55.jpg,0,0,0.113971745466958,0,0.112043799104696
36,m41.jpg,0,0,0.102327815836549,0,0.124920420144132
106,n50.jpg,0,1,0.0230112370894867,0,0.206293403860143
1,m1.jpg,0,0,0.227167401994396,1,0.00416914973612784
93,n39.jpg,0,0,0.197335661409564,1,0.0384749390748825
