subject,exp_org,exp_rev,image,label,category
7,it is red and black in colour and is small with six legs and black eyes with antennas and pincers,it is red and black in colour and is small with six legs and black eyes with antennas and pincers,ant1.jpg,Ant,Natural
7,"it is small and red in colour with six legs, black eyes, big head, pincers and antennas","it is small and red in colour with six legs, black eyes, big head, pincers and antennas",ant2.jpg,Ant,Natural
7,it is small and red in colour with black eyes and pincers and antennas,it is small and red in colour with black eyes and pincers and antennas,ant3.jpg,Ant,Natural
7,small and red in colour with six legs,small and red in colour with six legs,ant4.jpg,Ant,Natural
7,it is small and red in colour with six legs and and big head and antenna,it is small and red in colour with six legs and and big head and antenna,ant5.jpg,Ant,Natural
7,"it is small and black and red in colour, it has six legs and antennas","it is small and black and red in colour, it has six legs and antennas",ant6.jpg,Ant,Natural
7,"it small and black with a head, antenna, six legs and pincers","it small and black with a head, antenna, six legs and pincers",ant7.jpg,Ant,Natural
7,it has a small red body with six legs and black eyes with antennas and pincers,it has a small red body with six legs and black eyes with antennas and pincers,ant8.jpg,Ant,Natural
8,"small, 6 legs with subdivided body.","small, six legs with subdivided body.",ant1.jpg,Ant,Natural
8,"very small body, 6 legs","very small body, six legs",ant2.jpg,Ant,Natural
8,"small body, 6 legs","small body, six legs",ant3.jpg,Ant,Natural
8,"small body, 6 legs","small body, six legs",ant4.jpg,Ant,Natural
8,"small and divided body, 6 legs","small and divided body, six legs",ant5.jpg,Ant,Natural
8,"small body, 6 thin legs","small body, six thin legs",ant6.jpg,Ant,Natural
8,"subdivided body, small, 6 legs","subdivided body, small, six legs",ant7.jpg,Ant,Natural
8,"6 legs, very small body that is divided into three parts","six legs, very small body that is divided into three parts",ant8.jpg,Ant,Natural
9,it has long and thin legs. it is an insect. it is small in size. it is red.,it has long and thin legs. it is an insect. it is small in size. it is red.,ant1.jpg,Ant,Natural
9,Its body has three sections. It has 3 pairs of legs.,Its body has three sections. It has three pairs of legs.,ant2.jpg,Ant,Natural
9,It is an insect. It is small.,It is an insect. It is small.,ant3.jpg,Ant,Natural
9,it is small. it is on a leaf.,it is small. it is on a leaf.,ant4.jpg,Ant,Natural
9,it is an insect which is small.,it is an insect which is small.,ant5.jpg,Ant,Natural
9,it is tiny. it is black. it is an insect. it has a pair of eyes and three pairs of legs,it is tiny. it is black. it is an insect. it has a pair of eyes and three pairs of legs,ant6.jpg,Ant,Natural
9,it is an insect that is small. it has three pairs of legs and one pair of tentacle,it is an insect that is small. it has three pairs of legs and one pair of tentacle,ant7.jpg,Ant,Natural
9,"it is red. it is an insect. this insect that is red in colour, can be toxic and largest amoung the species.","it is red. it is an insect. this insect that is red in colour, can be toxic and largest amoung the species.",ant8.jpg,Ant,Natural
10,an insect with sharp teeth and round end,an insect with sharp teeth and round end,ant1.jpg,Ant,Natural
10,a small sized insect with sharp teeth,a small sized insect with sharp teeth,ant2.jpg,Ant,Natural
10,a tiny insect with sharp teeth and thin legs.,a tiny insect with sharp teeth and thin legs.,ant3.jpg,Ant,Natural
